vidOrDataOrNeutral,eventType,hiddenValue,numTimesOccured,numOfVideos,avgNumTimesPerVideo
data,JUMPdata,data,233.0,109,2.1376146788990824
data,MOVE,data,35.0,109,0.3211009174311927
data,SCRUBdata,data,4324.0,109,39.669724770642205
data,RESIZE,data,235.0,109,2.1559633027522938
data,DESELECTdata,data,135.0,109,1.238532110091743
data,ENDdata,data,590.0,109,5.412844036697248
