vidOrDataOrNeutral,eventType,hiddenValue,numTimesOccured,numOfVideos,avgNumTimesPerVideo
neutral,SKIP,neutral,1016.0,109,9.321100917431192
neutral,ENDvideo,neutral,159.0,109,1.4587155963302751
neutral,CHANGEPLAYBACKRATE,neutral,103.0,109,0.944954128440367
neutral,SCRUBvideo,neutral,102.0,109,0.9357798165137615
neutral,JUMPvideo,neutral,0.0,109,0.0
