3.1630, 4.5496, 3.4130, 14.5372, 112.7163, 569.4972, 0.0684, 0.5045, 1098.5352, 0.0000, 0.0000, 0.0000, 0.0000
3.9304, 4.7633, 3.1030, 3.3344, 9.2685, 8.2965, 0.0004, 0.0045, 0.0042, 0.0000, 0.0000, 0.0000, 0.0000
5.8251, 1.3626, 2.6298, 2.9067, 7.9776, 6.9731, 0.0009, 0.0050, 0.0027, 0.0000, 0.0000, 0.0000, 0.0000
2.5945, 1.6040, 1.2180, 1.4981, 3.5930, 3.3215, 0.0009, 0.0006, 0.0033, 0.0000, 0.0000, 0.0000, 0.0000
0.2556, 0.6534, 0.1526, 0.4257, 0.9526, 2.0423, 0.0016, 0.0024, 0.0002, 0.0000, 0.0000, 0.0000, 0.0000
0.2581, 0.1935, 0.1744, 0.5330, 0.9302, 2.0194, 0.0013, 0.0036, 0.0026, 0.0000, 0.0000, 0.0000, 0.0000
0.3154, 0.1350, 0.2070, 0.4171, 0.9877, 2.2263, 0.0019, 0.0045, 0.0012, 0.0000, 0.0000, 0.0000, 0.0000
0.3842, 0.4463, 0.2823, 2.2154, 1.2447, 3.2299, 0.0042, 0.0034, 0.0052, 0.0000, 0.0000, 0.0000, 0.0000
0.7934, 1.9436, 0.4146, 9.2700, 4.6846, 6.5425, 0.0459, 0.0049, 0.0021, 0.0000, 0.0000, 0.0000, 0.0000
1.2031, 2.0914, 0.6042, 16.3104, 4.8963, 10.4309, 0.0224, 0.0030, 0.0007, 0.0000, 0.0000, 0.0000, 0.0000
3.5303, 0.9815, 0.8758, 1.0520, 1.9245, 3.1657, 0.0028, 0.0018, 0.0005, 0.0000, 0.0000, 0.0000, 0.0000
6.2860, 2.2988, 3.8628, 1.1274, 4.5729, 8.8109, 0.0036, 0.0038, 0.0018, 0.0000, 0.0000, 0.0000, 0.0000
3.0504, 4.0931, 1.2622, 24.6676, 6.5119, 17.2212, 0.0088, 0.0060, 0.0038, 0.0000, 0.0000, 0.0000, 0.0000
3.3219, 5.3769, 3.3112, 31.2603, 9.2611, 26.5819, 0.0599, 0.0064, 0.0046, 0.0000, 0.0000, 0.0000, 0.0000
8.0262, 9.5889, 5.6072, 21.7741, 31.2307, 21.4313, 0.0583, 0.0208, 0.0276, 0.0000, 0.0000, 0.0000, 0.0000
7.5440, 3.4466, 4.0999, 11.7382, 6.2463, 21.3374, 6068.2903, 0.1015, 0.0413, 0.0000, 0.0000, 0.0000, 0.0000
