videoTHINGS:,ENDvideo,JUMPvideo,SCRUBvideo,PLAY,PAUSE,CHANGEPLAYBACKRATE,SKIP
run,PLAY,none,282.0,44,6.409090909090909
run,ENDvideo,none,69.0,44,1.5681818181818181
run,CHANGEPLAYBACKRATE,none,47.0,44,1.0681818181818181
pil,JUMPvideo,none,0.0,44,0.0
run,PAUSE,none,296.0,44,6.7272727272727275
run,JUMPvideo,none,0.0,44,0.0
run,SCRUBvideo,none,76.0,44,1.7272727272727273
pil,PLAY,none,217.0,44,4.931818181818182
pil,SKIP,none,289.0,44,6.568181818181818
pil,PAUSE,none,233.0,44,5.295454545454546
pil,CHANGEPLAYBACKRATE,none,26.0,44,0.5909090909090909
pil,SCRUBvideo,none,7.0,44,0.1590909090909091
run,SKIP,none,235.0,44,5.340909090909091
pil,ENDvideo,none,68.0,44,1.5454545454545454
