run-blue,38,4,4,0,3,0,1,0,0,1,0,0,2,3.91,0,0,25,0,0,10,11,2,0,0,studyA,none
run-blue,40,11,8,2,2,0,0,0,0,0,0,0,2,1.926,0,0,34,0,0,1,2,0,0,0,studyA,none
run-blue,44,9,9,0,1,0,0,0,0,1,0,0,0,0,0,0,44,0,0,9,9,0,0,0,studyA,none
run-yellow,2,10,0,10,4,0,2,0,0,1,0,0,4,8.677,0,0,37,0,0,1,2,1,0,0,studyA,video
run-yellow,7,11,10,0,3,0,3,1,0,0,0,0,2,2.111,0,0,89,1,0.067,0,1,0,0,0,studyA,video
run-yellow,11,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,1,0,0,0,studyA,video
run-yellow,13,8,8,0,1,0,0,0,0,0,0,0,1,1.039,0,0,39,0,0,0,0,0,0,0,studyA,video
run-yellow,17,11,9,0,4,3,0,1,2,0,0,0,2,1.832,0,0,47,0,0,0,1,0,0,0,studyA,video
run-yellow,22,10,10,0,3,1,0,1,0,1,0,0,0,0,34,0,88,0,0,0,1,0,0,0,studyA,video
run-yellow,25,10,10,0,3,0,1,1,0,1,0,0,0,0,0,0,33,0,0,0,1,0,0,0,studyA,video
run-yellow,28,12,5,4,1,0,0,0,3,0,0,0,2,3.022,0,0,77,0,0,2,2,0,0,0,studyA,video
run-yellow,33,11,4,6,6,0,1,1,0,1,3,4.679,3,2.8,0,0,43,1,0.45,3,4,6,0,0,studyA,video
run-yellow,38,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,1,0,0,0,studyA,video
run-yellow,40,11,9,2,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,1,0,0,0,studyA,video
run-yellow,44,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,1,1,0,0,0,studyA,video
run-red,2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,46.202,0,0,1,0,0,studyA,data
run-red,7,7,4,0,0,0,0,0,2,0,0,0,0,0,0,0,28,0,0,5,6,2,182,0,studyA,data
run-red,11,6,1,3,3,0,0,0,0,3,0,0,0,0,0,0,7,0,0,2,2,3,0,0,studyA,data
run-red,13,3,0,3,2,0,1,0,0,0,0,0,2,1.294,0,0,32,0,0,2,3,2,0,0,studyA,data
run-red,17,4,2,1,2,1,0,0,0,0,0,0,2,4.078,0,0,67,0,0,5,4,11,0,0,studyA,data
run-red,22,6,4,0,4,0,0,0,0,0,0,0,4,4.662,4,0,24,52,3.266,14,15,2,0,0,studyA,data
run-red,25,4,4,0,4,0,1,1,0,0,0,0,2,2.832,0,0,53,0,0,13,12,3,0,0,studyA,data
run-red,28,2,0,2,1,1,0,0,0,0,0,0,1,0.687,0,0,27,20,1.399,9,9,2,0,0,studyA,data
run-red,33,4,2,2,6,0,5,1,0,0,2,1.088,4,4.63,0,0,114,2,0.719,16,16,4,0,0,studyA,data
run-red,38,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,48,2,0.167,7,7,2,0,0,studyA,data
run-red,40,188,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,studyA,data
run-red,44,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,15,15,0,0,0,studyA,data
pill-blue,2,6,0,6,7,0,5,0,0,0,4,4.814,12,20.253,0,0,47,0,0,10,9,1,0,0,studyA,none
pill-blue,7,11,8,0,1,0,0,0,0,0,0,0,1,0.912,0,0,91,0,0,3,4,0,0,0,studyA,none
pill-blue,11,8,8,0,2,0,1,0,0,0,1,2.28,2,3.089,0,0,37,0,0,5,6,2,0,0,studyA,none
pill-blue,13,8,7,1,4,0,1,0,0,0,1,2.023,5,8.07,0,0,42,0,0,5,6,0,0,0,studyA,none
pill-blue,17,6,6,0,3,3,0,0,0,0,0,0,5,2.974,0,0,63,0,0,8,8,0,0,0,studyA,none
pill-blue,22,8,8,0,0,0,0,0,0,0,0,0,0,0,37,0,82,0,0,8,9,2,0,0,studyA,none
pill-blue,25,8,8,0,5,0,4,1,0,0,0,0,4,4.648,0,0,64,0,0,4,5,0,0,0,studyA,none
pill-blue,28,10,5,3,2,0,2,0,2,0,0,0,2,2.511,4,0,43,0,0,4,5,3,0,0,studyA,none
pill-blue,33,8,1,7,5,0,4,0,0,0,0,0,5,6.327,0,0,45,0,0,2,3,0,0,0,studyA,none
pill-blue,38,8,7,1,1,0,0,0,0,0,1,3.199,0,0,0,0,36,0,0,5,5,1,0,0,studyA,none
pill-blue,40,9,7,2,8,0,6,0,0,0,0,0,11,18.489,1,0,65,0,0,2,2,0,0,0,studyA,none
pill-blue,44,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,1,2,0,0,0,studyA,none
pill-red,2,7,1,6,8,0,6,0,0,1,0,0,7,9.96,1,0,63,0,0,6,5,1,0,0,studyA,video
pill-red,7,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,1,0,0,0,studyA,video
pill-red,11,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,studyA,video
pill-red,13,8,6,0,0,0,0,0,1,0,0,0,0,0,0,0,75,0,0,1,1,0,0,0,studyA,video
pill-red,17,6,6,0,3,3,0,0,0,0,0,0,3,4.079,0,0,40,0,0,0,1,0,0,0,studyA,video
pill-red,22,6,6,0,0,0,0,0,0,0,0,0,0,0,47,0,104,31,2.014,1,1,2,0,0,studyA,video
pill-red,25,8,7,0,4,0,2,0,0,0,1,2.4,4,6.47,0,0,47,0,0,0,0,0,0,0,studyA,video
pill-red,28,6,6,0,6,1,3,0,0,0,0,0,3,2.336,3,0,109,0,0,0,0,0,0,0,studyA,video
pill-red,33,6,1,5,9,0,8,2,0,0,3,5.804,5,6.394,0,0,64,1,0.373,4,3,1,0,0,studyA,video
pill-red,38,6,6,0,2,0,2,0,0,0,0,0,1,1.911,1,0,31,1,0.083,0,0,0,0,0,studyA,video
pill-red,40,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,studyA,video
pill-red,44,7,7,0,2,0,1,0,0,1,0,0,0,0,1,0,27,0,0,0,1,0,0,0,studyA,video
pill-orange,2,5,0,5,3,0,0,0,0,1,0,0,3,2.982,0,0,8,6,43.087,4,4,2,0,0,studyA,data
pill-orange,7,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,14,14,0,99,0,studyA,data
pill-orange,11,10,1,9,3,0,1,1,0,2,0,0,0,0,0,0,52,0,0,4,4,2,0,0,studyA,data
pill-orange,13,7,2,4,6,0,4,0,1,0,3,1.812,4,4.737,0,0,65,0,0,8,8,1,0,0,studyA,data
pill-orange,17,7,2,5,4,4,0,0,1,0,0,0,4,4.967,1,0,56,0,0,9,8,1,0,0,studyA,data
pill-orange,22,5,5,0,5,3,0,1,0,0,0,0,5,6.329,0,0,16,17,1.071,20,21,2,26,0,studyA,data
pill-orange,25,8,7,0,6,0,5,1,0,0,0,0,6,8.959,0,0,96,0,0,17,17,0,0,0,studyA,data
pill-orange,28,5,0,4,6,1,5,0,0,0,0,0,5,5.576,0,0,74,2,0.167,23,23,0,0,0,studyA,data
pill-orange,33,9,1,8,3,0,1,0,0,0,0,0,3,3.288,0,0,86,0,0,3,3,6,0,0,studyA,data
pill-orange,38,6,1,4,1,0,0,0,0,1,0,0,1,0.816,0,0,61,0,0,10,10,1,0,0,studyA,data
pill-orange,40,7,2,3,3,0,2,0,0,0,1,1.462,3,4.064,0,0,68,0,0,4,4,0,0,0,studyA,data
pill-orange,44,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,21,20,0,0,0,studyA,data
run-pink,2,8,2,6,8,0,1,0,0,0,0,0,12,20.199,0,0,39,0,0,6,7,1,0,0,studyA,video
run-pink,7,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,1,0,0,0,studyA,video
run-pink,11,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,1,0,0,0,studyA,video
run-pink,13,8,8,0,1,0,0,0,0,0,1,2.448,2,1.57,0,0,46,0,0,0,1,0,0,0,studyA,video
run-pink,17,8,8,0,1,1,0,1,0,0,0,0,0,0,0,0,37,0,0,0,1,0,0,0,studyA,video
run-pink,22,8,8,0,2,1,1,1,0,0,0,0,1,1.44,25,0,66,2,0.19,1,2,2,0,0,studyA,video
run-pink,25,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,1,0,0,0,studyA,video
run-pink,28,10,7,1,6,0,5,0,1,0,1,0.168,5,7.638,5,0,113,0,0,3,4,0,0,0,studyA,video
run-pink,33,9,1,8,9,0,9,0,0,0,4,6.751,4,5.013,0,0,58,1,0.302,1,2,2,0,0,studyA,video
run-pink,38,8,8,0,1,0,1,0,0,0,0,0,2,3.232,0,0,30,0,0,1,1,0,0,0,studyA,video
run-pink,40,13,8,4,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1,0,0,0,studyA,video
run-pink,44,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,1,0,0,0,studyA,video
practice-first,1,83,3,0,16,0,0,0,2,16,0,0,0,0,0,0,46,0,0,0,1,2,0,0,studyB,none
practice-first,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,4,4,8,189,0,studyB,none
practice-first,9,7,6,0,2,1,0,0,0,1,0,0,2,2.79,3,0,21,2,0.157,9,9,3,0,0,studyB,none
practice-first,12,9,9,0,1,0,0,0,0,1,0,0,0,0,0,0,30,1,1.944,4,5,0,0,8,studyB,none
practice-first,16,5,5,0,4,0,2,0,0,0,0,0,3,7.564,1,0,20,0,0,8,9,2,3,0,studyB,none
practice-first,19,7,7,0,4,0,0,0,0,1,0,0,3,4.603,0,0,19,0,0,22,22,1,0,0,studyB,none
practice-first,24,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,6,8,6.981,8,9,0,6,0,studyB,none
practice-first,29,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,6,7,3,0,0,studyB,none
practice-first,30,6,6,0,1,0,1,0,0,0,0,0,0,0,0,0,30,0,0,14,14,0,0,0,studyB,none
practice-first,35,3,3,0,4,0,2,0,0,0,1,0.073,3,23.379,1,0,15,3,7.631,4,5,0,9,0,studyB,none
practice-first,37,20,0,20,2,0,0,0,0,2,0,0,0,0,0,0,16,0,0,2,1,0,0,0,studyB,none
practice-first,41,14,2,11,2,0,1,0,1,1,0,0,0,0,0,0,13,0,0,10,10,1,0,0,studyB,none
practice-first,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,studyB,none
practice-second,1,28,4,0,1,0,0,0,1,0,0,0,0,0,0,0,22,1,4.029,1,1,5,0,0,studyB,data
practice-second,6,1,1,0,5,1,4,0,0,0,0,0,0,0,5,0,34,2,0.167,1,0,15,55,0,studyB,data
practice-second,9,7,2,2,3,2,0,0,0,0,0,0,2,3.63,0,0,6,2,0.121,6,7,5,0,0,studyB,data
practice-second,12,4,3,0,3,0,0,0,0,2,0,0,0,0,0,0,15,1,5.767,6,7,0,4,0,studyB,data
practice-second,16,9,5,0,11,0,6,0,0,3,0,0,4,7.366,5,0,32,0,0,9,10,4,0,0,studyB,data
practice-second,19,5,5,0,3,0,0,0,0,0,0,0,2,3.12,2,0,14,4,0.395,18,19,1,0,0,studyB,data
practice-second,24,3,2,0,3,3,0,0,0,0,0,0,3,4.717,0,0,15,1,3.659,6,7,0,0,0,studyB,data
practice-second,29,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3.32,1,2,6,0,0,studyB,data
practice-second,30,15,3,6,2,0,0,0,1,2,0,0,0,0,0,0,9,3,0.275,31,31,0,0,0,studyB,data
practice-second,35,9,3,0,5,0,2,0,0,2,3,1.891,6,4.799,0,0,20,3,6.045,10,11,0,2,0,studyB,data
practice-second,37,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,studyB,data
practice-second,41,9,0,6,2,0,1,0,1,1,0,0,0,0,0,0,8,0,0,2,3,2,0,0,studyB,data
practice-second,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,studyB,data
practice-third,1,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,1,3,0,0,studyB,video
practice-third,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,17,0,0,0,0,1,0,0,studyB,video
practice-third,9,6,0,6,7,1,6,0,0,0,0,0,11,13.354,0,0,25,3,0.201,4,4,2,0,0,studyB,video
practice-third,12,20,18,0,0,0,0,0,1,0,0,0,0,0,0,0,37,2,1.944,0,1,0,0,0,studyB,video
practice-third,16,5,5,0,3,2,0,0,0,0,0,0,4,5.547,0,0,14,0,0,9,9,3,0,0,studyB,video
practice-third,19,11,11,0,3,0,1,0,0,0,0,0,1,1.592,0,0,28,0,0,1,2,2,0,0,studyB,video
practice-third,24,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,studyB,video
practice-third,29,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.336,2,3,5,0,0,studyB,video
practice-third,30,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,0.181,1,2,0,0,0,studyB,video
practice-third,35,17,8,0,11,1,6,0,0,3,5,4.98,4,2.91,0,0,30,6,6.001,10,11,0,0,0,studyB,video
practice-third,37,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,studyB,video
practice-third,41,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,4,2,0,0,studyB,video
practice-third,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,studyB,video
run-blue,1,6,5,0,0,0,0,0,1,0,0,0,0,0,0,0,38,0,0,2,3,1,0,0,studyB,none
run-blue,6,5,5,0,1,0,0,0,0,1,0,0,0,0,0,0,15,0,0,5,6,1,98,0,studyB,none
