0.375,none
1,none
0.625,none
0.875,none
1,none
1,none
1,none
0.625,none
0.375,none
1,none
1,none
1,none
1,video
1,video
1,video
1,video
1,video
1,video
1,video
1,video
1,video
1,video
1,video
1,video
0.5,data
0.375,data
0.375,data
0.25,data
0.5,data
0.5,data
0.25,data
0.5,data
0.375,data
0.25,data
0.5,data
0.5,data
0.75,none
0.75,none
1,none
1,none
1,none
1,none
1,none
1,none
1,none
1,none
1,none
1,none
1,video
1,video
0.5,video
1,video
1,video
1,video
1,video
0.6666666667,video
1,video
1,video
0.6666666667,video
0.6666666667,video
0.5,data
0.875,data
0.75,data
0.5,data
0.625,data
0.875,data
0.5,data
1,data
0.5,data
1,data
0.75,data
0.625,data
1,video
1,video
1,video
1,video
1,video
1,video
1,video
1,video
1,video
1,video
1,video
1,video
0.5,none
0.625,none
0.625,none
0.625,none
0.125,none
0.625,none
1,none
0.75,none
0.875,none
0.75,none
1,none
0.5,none
0.25,data
0.25,data
0.5,data
0.25,data
0,data
0.375,data
0.375,data
0.25,data
0.25,data
0.25,data
0.25,data
0.25,data
1,video
1,video
0.875,video
1,video
0.25,video
1,video
1,video
1,video
1,video
1,video
1,video
0.75,video
0.75,none
1,none
0.625,none
1,none
0.125,none
0.875,none
1,none
1,none
1,none
0.375,none
1,none
0.75,none
0.3333333333,data
0.5,data
0.5,data
0.6666666667,data
0.5,data
0.5,data
0.8333333333,data
0.5,data
0.6666666667,data
0.5,data
0.5,data
0.8333333333,data
1,video
1,video
1,video
1,video
0.5,video
1,video
1,video
1,video
1,video
1,video
1,video
0.625,video
1,video
1,video
1,video
1,video
0.5,video
1,video
1,video
1,video
1,video
1,video
1,video
1,video
1,none
1,none
1,none
0.5,none
0.875,none
0.625,none
1,none
0.375,none
0.75,none
0.625,none
0.625,none
0.25,none
1,none
1,video
0.8333333333,video
1,video
1,video
1,video
1,video
1,video
1,video
0.5,video
0.8333333333,video
0.8333333333,video
0.5,video
0.8333333333,video
0.25,data
0.625,data
0.5,data
0.5,data
0.375,data
0.5,data
0.5,data
0.375,data
0.875,data
0.625,data
0.625,data
0.5,data
0.5,data
1,none
1,none
1,none
1,none
0.875,none
1,none
1,none
0.625,none
1,none
1,none
0.875,none
0.5,none
1,none
1,video
1,video
1,video
1,video
1,video
1,video
1,video
1,video
1,video
1,video
1,video
1,video
0.5,video
0.375,data
0.875,data
0.375,data
0.25,data
0.5,data
0.5,data
0.5,data
0.25,data
0.625,data
0.75,data
0.5,data
0.125,data
1,data
1,video
1,video
1,video
1,video
1,video
1,video
1,video
1,video
1,video
1,video
1,video
1,video
0.75,none
0.75,none
0.375,none
0.5,none
0.75,none
0.5,none
1,none
0.625,none
0.75,none
0.75,none
0.625,none
0.75,none
0.25,none
0.375,none
0.375,none
1,none
0.375,none
0.5,data
0.5,data
0.3333333333,data
0.3333333333,data
0.3333333333,data
0.1666666667,data
0.8333333333,data
0.3333333333,data
0.3333333333,data
0.5,data
0.6666666667,data
0.5,data
0.1666666667,data
0.3333333333,data
0.1666666667,data
0.5,data
0.3333333333,data
1,video
1,video
1,video
1,video
1,video
1,video
1,video
0.5,video
0.5,video
1,video
0.875,video
1,video
1,video
0.375,video
0.75,video
1,video
1,video
0.5,video
0.625,none
0.875,none
1,none
1,none
1,none
0.75,none
1,none
0,none
1,none
1,none
0.75,none
1,none
1,none
1,none
0.25,none
0.25,none
1,none
0.625,none
0.375,data
0.25,data
0.375,data
0.25,data
0.375,data
0.5,data
0.25,data
0.25,data
0.375,data
0.25,data
0.375,data
0.25,data
0.5,data
0.25,data
0.25,data
0.25,data
0.25,data
0.125,data
1,video
0.75,video
1,video
0.75,video
1,video
1,video
1,video
0,video
1,video
1,video
1,video
1,video
1,video
1,video
0.625,video
0.75,video
1,video
1,video
1,video
1,video
1,video
1,video
1,video
1,video
1,video
0.25,video
1,video
1,video
1,video
1,video
0.75,video
1,video
1,video
1,video
