task,user,correct,mislabelled,off,wrong,missed,ghosts,explosions,hiccups,dropped,merged,num-user-labels,num-gold-labels,study,hidden,total-labels,minus-ghost,internal-accuracy,% complete,% correct,% mislabelled,% off,% wrong,% missed,% ghosts,saw,task-type
run-yellow,graceef,0,0,2,0,6,0,0,0,0,0,2,8,studyD,data,8,8,0,0.25,0,0,0.25,0,0.75,0,video,running
run-yellow,15,1,0,1,0,6,0,0,0,0,0,2,8,studyD,data,8,8,0.5,0.25,0.125,0,0.125,0,0.75,0,video,running
run-yellow,43,1,0,2,0,5,0,0,0,0,0,3,8,studyD,data,8,8,0.3333333333,0.375,0.125,0,0.25,0,0.625,0,video,running
run-yellow,56,1,0,1,0,6,0,0,0,0,0,2,8,studyD,data,8,8,0.5,0.25,0.125,0,0.125,0,0.75,0,video,running
run-yellow,23,1,0,2,0,5,0,0,0,0,0,3,8,studyD,data,8,8,0.3333333333,0.375,0.125,0,0.25,0,0.625,0,video,running
run-yellow,atangren,0,0,2,0,6,1,0,0,0,0,3,8,studyD,data,9,8,0,0.25,0,0,0.25,0,0.75,0.1111111111,video,running
run-yellow,31,2,0,2,0,4,0,0,0,0,0,4,8,studyD,data,8,8,0.5,0.5,0.25,0,0.25,0,0.5,0,video,running
run-yellow,5,1,0,1,0,6,0,0,0,0,0,2,8,studyD,data,8,8,0.5,0.25,0.125,0,0.125,0,0.75,0,video,running
run-yellow,52,2,0,0,0,6,0,0,0,0,0,2,8,studyD,data,8,8,1,0.25,0.25,0,0,0,0.75,0,video,running
run-yellow,55,1,0,1,0,6,0,0,0,0,0,2,8,studyD,data,8,8,0.5,0.25,0.125,0,0.125,0,0.75,0,video,running
run-yellow,49,0,0,2,0,6,1,0,0,0,1,3,8,studyD,data,9,8,0,0.25,0,0,0.25,0,0.75,0.1111111111,video,running
run-yellow,51,0,0,1,0,7,0,0,0,0,0,1,8,studyD,data,8,8,0,0.125,0,0,0.125,0,0.875,0,video,running
run-red,34,5,0,3,0,0,0,0,0,0,0,8,8,studyD,video,8,8,0.625,1,0.625,0,0.375,0,0,0,data,running
run-red,53,3,0,3,0,2,2,0,0,0,2,8,8,studyD,video,10,8,0.5,0.75,0.375,0,0.375,0,0.25,0.2,data,running
run-red,39,0,0,8,0,0,0,0,0,0,0,8,8,studyD,video,8,8,0,1,0,0,1,0,0,0,data,running
run-red,48,0,0,6,0,2,2,0,0,0,9,8,8,studyD,video,10,8,0,0.75,0,0,0.75,0,0.25,0.2,data,running
run-red,18,8,0,0,0,0,0,0,0,0,0,8,8,studyD,video,8,8,1,1,1,0,0,0,0,0,data,running
run-red,50,0,8,0,0,0,0,0,0,0,0,8,8,studyD,video,8,8,0,1,0,1,0,0,0,0,data,running
run-red,graceef,6,1,1,0,0,0,0,0,0,0,8,8,studyD,video,8,8,0.75,1,0.75,0.125,0.125,0,0,0,data,running
run-red,15,0,0,0,0,8,8,0,0,1,9,8,8,studyD,video,16,8,0,0,0,0,0,0,1,0.5,data,running
run-red,43,8,0,0,0,0,1,0,0,0,0,9,8,studyD,video,9,8,1,1,1,0,0,0,0,0.1111111111,data,running
run-red,56,2,5,0,1,0,0,0,0,0,0,8,8,studyD,video,8,8,0.25,1,0.25,0.625,0,0.125,0,0,data,running
run-red,23,8,0,0,0,0,0,0,0,0,0,8,8,studyD,video,8,8,1,1,1,0,0,0,0,0,data,running
run-red,atangren,8,0,0,0,0,0,0,0,0,0,8,8,studyD,video,8,8,1,1,1,0,0,0,0,0,data,running
run-red,31,1,5,0,2,0,0,0,0,0,0,8,8,studyD,video,8,8,0.125,1,0.125,0.625,0,0.25,0,0,data,running
run-red,5,6,0,2,0,0,0,0,0,0,0,8,8,studyD,video,8,8,0.75,1,0.75,0,0.25,0,0,0,data,running
run-red,52,5,0,0,0,3,0,0,0,0,0,5,8,studyD,video,8,8,1,0.625,0.625,0,0,0,0.375,0,data,running
run-red,55,5,0,1,0,2,0,0,0,0,0,6,8,studyD,video,8,8,0.8333333333,0.75,0.625,0,0.125,0,0.25,0,data,running
run-red,49,3,0,5,0,0,0,0,0,0,0,8,8,studyD,video,8,8,0.375,1,0.375,0,0.625,0,0,0,data,running
run-red,51,0,6,0,2,0,0,0,0,0,0,8,8,studyD,video,8,8,0,1,0,0.75,0,0.25,0,0,data,running
pills-pink,34,8,0,0,0,0,0,0,0,0,0,8,8,studyD,video,8,8,1,1,1,0,0,0,0,0,data,after-distraction
pills-pink,53,1,0,7,0,0,0,0,0,1,0,8,8,studyD,video,8,8,0.125,1,0.125,0,0.875,0,0,0,data,after-distraction
pills-pink,39,0,0,8,0,0,0,0,0,1,0,8,8,studyD,video,8,8,0,1,0,0,1,0,0,0,data,after-distraction
pills-pink,48,3,0,5,0,0,0,0,0,1,0,8,8,studyD,video,8,8,0.375,1,0.375,0,0.625,0,0,0,data,after-distraction
pills-pink,18,8,0,0,0,0,0,0,0,2,0,8,8,studyD,video,8,8,1,1,1,0,0,0,0,0,data,after-distraction
pills-pink,50,0,8,0,0,0,0,0,0,1,0,8,8,studyD,video,8,8,0,1,0,1,0,0,0,0,data,after-distraction
pills-pink,graceef,7,1,0,0,0,0,0,0,0,0,8,8,studyD,video,8,8,0.875,1,0.875,0.125,0,0,0,0,data,after-distraction
pills-pink,15,0,0,2,0,6,6,0,0,0,6,8,8,studyD,video,14,8,0,0.25,0,0,0.25,0,0.75,0.4285714286,data,after-distraction
pills-pink,43,7,0,1,0,0,0,0,0,0,0,8,8,studyD,video,8,8,0.875,1,0.875,0,0.125,0,0,0,data,after-distraction
pills-pink,56,8,0,0,0,0,0,0,0,1,0,8,8,studyD,video,8,8,1,1,1,0,0,0,0,0,data,after-distraction
pills-pink,atangren,8,0,0,0,0,0,0,0,0,0,8,8,studyD,video,8,8,1,1,1,0,0,0,0,0,data,after-distraction
pills-pink,31,6,0,2,0,0,0,0,0,1,0,8,8,studyD,video,8,8,0.75,1,0.75,0,0.25,0,0,0,data,after-distraction
pills-pink,52,6,0,0,0,2,0,0,0,0,0,6,8,studyD,video,8,8,1,0.75,0.75,0,0,0,0.25,0,data,after-distraction
pills-pink,55,8,0,0,0,0,0,0,0,1,0,8,8,studyD,video,8,8,1,1,1,0,0,0,0,0,data,after-distraction
pills-pink,49,6,0,2,0,0,0,0,0,0,0,8,8,studyD,video,8,8,0.75,1,0.75,0,0.25,0,0,0,data,after-distraction
pills-pink,51,7,1,0,0,0,0,0,0,0,0,8,8,studyD,video,8,8,0.875,1,0.875,0.125,0,0,0,0,data,after-distraction
task,user,correct,mislabelled,off,wrong,missed,ghosts,explosions,hiccups,dropped,merged,num-user-labels,num-gold-labels,study,hidden,total-labels,minus-ghosts,internal-accuracy,% complete,% correct,% mislabelled,% off,% wrong,% missed,% ghosts,saw,task-type
